Mã yêu cầu SRS,Hệ thống,Phân hệ,Màn hình/nhóm,Chức năng,Vai trò,Nguồn/trang SRS,Vị trí/giải thích
SRS-4.2.1-01,JPULSE,A,Đăng nhập / Hồ sơ cá nhân,Quản lý phiên người dùng,Người dùng,"SRS §4.2.1, tr.74","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: A1"
SRS-4.2.1-02,JPULSE,A,Đăng nhập / Hồ sơ cá nhân,Đăng nhập,Người dùng,"SRS §4.2.1, tr.74",Ô A1 trong sơ đồ chi tiết/luồng
SRS-4.2.1-03,JPULSE,A,Đăng nhập / Hồ sơ cá nhân,Khôi phục phiên,Người dùng,"SRS §4.2.1, tr.74","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: A1"
SRS-4.2.1-04,JPULSE,A,Đăng nhập / Hồ sơ cá nhân,Đăng xuất,Người dùng,"SRS §4.2.1, tr.74",Ô A2 trong sơ đồ chi tiết/luồng
SRS-4.2.1-05,JPULSE,A,Đăng nhập / Hồ sơ cá nhân,Phân giải tài khoản,Người dùng,"SRS §4.2.1, tr.74","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: A1"
SRS-4.2.1-06,JPULSE,A,Đăng nhập / Hồ sơ cá nhân,Xác thực thông tin đăng nhập,Người dùng,"SRS §4.2.1, tr.74","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: A1"
SRS-4.2.1-07,JPULSE,A,Đăng nhập / Hồ sơ cá nhân,Tải quyền và phạm vi cơ sở,Người dùng,"SRS §4.2.1, tr.74","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: A1"
SRS-4.2.1-08,JPULSE,A,Đăng nhập / Hồ sơ cá nhân,Xác minh MFA,Người dùng,"SRS §4.2.1, tr.74",Ô A1 trong sơ đồ chi tiết/luồng
SRS-4.2.1-09,JPULSE,A,Đăng nhập / Hồ sơ cá nhân,Yêu cầu đặt lại mật khẩu,Người dùng,"SRS §4.2.1, tr.74",Ô A1 trong sơ đồ chi tiết/luồng
SRS-4.2.1-10,JPULSE,A,Đăng nhập / Hồ sơ cá nhân,Gửi email khôi phục,Người dùng,"SRS §4.2.1, tr.74","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: A1"
SRS-4.2.2-01,JPULSE,B,Trang chủ,Xem dashboard,Theo quyền và phạm vi cơ sở,"SRS §4.2.2, tr.75",Ô B1 trong sơ đồ chi tiết/luồng
SRS-4.2.2-02,JPULSE,B,Trang chủ,Xem dashboard tồn kho,Theo quyền và phạm vi cơ sở,"SRS §4.2.2, tr.75",Ô B1 trong sơ đồ chi tiết/luồng
SRS-4.2.2-03,JPULSE,B,Trang chủ,Xem dashboard chi phí,Theo quyền và phạm vi cơ sở,"SRS §4.2.2, tr.75",Ô B1 trong sơ đồ chi tiết/luồng
SRS-4.2.2-04,JPULSE,B,Trang chủ,Kiểm tra quyền và phạm vi cơ sở,Theo quyền và phạm vi cơ sở,"SRS §4.2.2, tr.75","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: B1"
